urn,citationScheme,groupName,workTitle,versionLabel,exemplarLabel,online
urn:cts:latinLit:phi1038.phi001.omar:,book/chapter/section,Valerius Maximus,Factorum Et Dictorum Memorabilium,Tesserae edition,,true
urn:cts:latinLit:phi0474.phi052.omar:,letter/section,M. Tullius Cicero,Epistulae Ad Atticum,Tessearae edition,,true
urn:cts:latinLit:phi1351.phi001:,chapter/section,Tacitus,Agricola,Tesserae edition,,true
urn:cts:omar:phi1351.phi002:,chapter/section,Tacitus,Germania,Tesserae edition,,true
urn:cts:omar:phi1351.phi003:,chapter/section,Tacitus,Dialogus de Oratoribus,Tesserae edition,,true
urn:cts:omar:phi1351.phi004:,book/chapter,Tacius,Historiae,Tesserae edition,,true
urn:cts:latinLit:phi1351.phi005:,book/chapter,Tacitus,Annales,Tesserae edition,,true
urn:cts:omar:phi0914.phi001:, book/chapter/section,Livy,Ab urbe condita,,true
urn:cts:omar:phi0631.phi001:,chapter/section,Sallust,Catilina,,true
urn:cts:omar:phi0631.phi002:,chapter/section,Sallust,Iugurtha,,true
urn:cts:latinLit:phi0631.phi003:,,Salust,Histories,,true
